Symbol,Shortname,Longname
AAPL,Apple Inc.,Apple Inc.
NVDA,NVIDIA Corporation,NVIDIA Corporation
MSFT,Microsoft Corporation,Microsoft Corporation
AMZN,"Amazon.com, Inc.","Amazon.com, Inc."
GOOGL,Alphabet Inc.,Alphabet Inc.
GOOG,Alphabet Inc.,Alphabet Inc.
META,"Meta Platforms, Inc.","Meta Platforms, Inc."
TSLA,"Tesla, Inc.","Tesla, Inc."
AVGO,Broadcom Inc.,Broadcom Inc.
BRK-B,Berkshire Hathaway Inc. New,Berkshire Hathaway Inc.
WMT,Walmart Inc.,Walmart Inc.
LLY,Eli Lilly and Company,Eli Lilly and Company
JPM,JP Morgan Chase & Co.,JPMorgan Chase & Co.
V,Visa Inc.,Visa Inc.
MA,Mastercard Incorporated,Mastercard Incorporated
ORCL,Oracle Corporation,Oracle Corporation
XOM,Exxon Mobil Corporation,Exxon Mobil Corporation
UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated
COST,Costco Wholesale Corporation,Costco Wholesale Corporation
PG,Procter & Gamble Company (The),The Procter & Gamble Company
HD,"Home Depot, Inc. (The)","The Home Depot, Inc."
NFLX,"Netflix, Inc.","Netflix, Inc."
JNJ,Johnson & Johnson,Johnson & Johnson
BAC,Bank of America Corporation,Bank of America Corporation
CRM,"Salesforce, Inc.","Salesforce, Inc."
ABBV,AbbVie Inc.,AbbVie Inc.
KO,Coca-Cola Company (The),The Coca-Cola Company
TMUS,"T-Mobile US, Inc.","T-Mobile US, Inc."
CVX,Chevron Corporation,Chevron Corporation
MRK,"Merck & Company, Inc.","Merck & Co., Inc."
WFC,Wells Fargo & Company,Wells Fargo & Company
CSCO,"Cisco Systems, Inc.","Cisco Systems, Inc."
ACN,Accenture plc,Accenture plc
NOW,"ServiceNow, Inc.","ServiceNow, Inc."
AXP,American Express Company,American Express Company
MCD,McDonald's Corporation,McDonald's Corporation
PEP,"Pepsico, Inc.","PepsiCo, Inc."
BX,Blackstone Inc.,Blackstone Inc.
IBM,International Business Machines,International Business Machines Corporation
DIS,Walt Disney Company (The),The Walt Disney Company
LIN,Linde plc,Linde plc
TMO,Thermo Fisher Scientific Inc,Thermo Fisher Scientific Inc.
MS,Morgan Stanley,Morgan Stanley
ABT,Abbott Laboratories,Abbott Laboratories
ADBE,Adobe Inc.,Adobe Inc.
AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc."
PM,Philip Morris International Inc,Philip Morris International Inc.
ISRG,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc."
PLTR,Palantir Technologies Inc.,Palantir Technologies Inc.
GE,GE Aerospace,GE Aerospace
INTU,Intuit Inc.,Intuit Inc.
GS,"Goldman Sachs Group, Inc. (The)","The Goldman Sachs Group, Inc."
CAT,"Caterpillar, Inc.",Caterpillar Inc.
TXN,Texas Instruments Incorporated,Texas Instruments Incorporated
QCOM,QUALCOMM Incorporated,QUALCOMM Incorporated
VZ,Verizon Communications Inc.,Verizon Communications Inc.
BKNG,Booking Holdings Inc. Common St,Booking Holdings Inc.
DHR,Danaher Corporation,Danaher Corporation
T,AT&T Inc.,AT&T Inc.
BLK,"BlackRock, Inc.","BlackRock, Inc."
RTX,RTX Corporation,RTX Corporation
SPGI,S&P Global Inc.,S&P Global Inc.
PFE,"Pfizer, Inc.",Pfizer Inc.
HON,Honeywell International Inc.,Honeywell International Inc.
NEE,"NextEra Energy, Inc.","NextEra Energy, Inc."
CMCSA,Comcast Corporation,Comcast Corporation
ANET,"Arista Networks, Inc.",Arista Networks Inc
AMGN,Amgen Inc.,Amgen Inc.
PGR,Progressive Corporation (The),The Progressive Corporation
LOW,"Lowe's Companies, Inc.","Lowe's Companies, Inc."
SYK,Stryker Corporation,Stryker Corporation
UNP,Union Pacific Corporation,Union Pacific Corporation
TJX,"TJX Companies, Inc. (The)","The TJX Companies, Inc."
KKR,KKR & Co. Inc.,KKR & Co. Inc.
SCHW,Charles Schwab Corporation (The,The Charles Schwab Corporation
ETN,"Eaton Corporation, PLC",Eaton Corporation plc
AMAT,"Applied Materials, Inc.","Applied Materials, Inc."
BA,Boeing Company (The),The Boeing Company
BSX,Boston Scientific Corporation,Boston Scientific Corporation
C,"Citigroup, Inc.",Citigroup Inc.
UBER,"Uber Technologies, Inc.","Uber Technologies, Inc."
COP,ConocoPhillips,ConocoPhillips
PANW,"Palo Alto Networks, Inc.","Palo Alto Networks, Inc."
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc."
DE,Deere & Company,Deere & Company
FI,"Fiserv, Inc.","Fiserv, Inc."
BMY,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company
LMT,Lockheed Martin Corporation,Lockheed Martin Corporation
GILD,"Gilead Sciences, Inc.","Gilead Sciences, Inc."
NKE,"Nike, Inc.","NIKE, Inc."
CB,Chubb Limited,Chubb Limited
UPS,"United Parcel Service, Inc.","United Parcel Service, Inc."
ADI,"Analog Devices, Inc.","Analog Devices, Inc."
MMC,"Marsh & McLennan Companies, Inc","Marsh & McLennan Companies, Inc."
